img0,img1,mean_conf,mean_err(px),AUC@1,AUC@2,AUC@5,AUC@10
Q_009_00226.JPG,Q_009_00228.JPG,0.9770,3.023,0.001,0.004,0.989,0.997
Q_009_00227.JPG,Q_009_00229.JPG,0.9661,3.047,0.000,0.002,0.991,0.997
Q_009_00228.JPG,Q_009_00230.JPG,0.9690,3.053,0.000,0.003,0.990,0.997
Q_009_00229.JPG,Q_009_00231.JPG,0.9827,3.138,0.000,0.003,0.966,0.997
Q_009_00230.JPG,Q_009_00232.JPG,0.9783,3.114,0.000,0.003,0.966,0.997
Q_009_00231.JPG,Q_009_00233.JPG,0.9755,3.148,0.000,0.003,0.961,0.997
Q_009_00232.JPG,Q_009_00234.JPG,0.9825,3.134,0.001,0.005,0.962,0.997
Q_009_00233.JPG,Q_009_00235.JPG,0.9690,3.281,0.001,0.006,0.927,0.992
Q_009_00234.JPG,Q_009_00236.JPG,0.9672,3.618,0.001,0.005,0.867,0.971
Q_009_00235.JPG,Q_009_00237.JPG,0.9186,3.987,0.000,0.003,0.832,0.938
Q_009_00236.JPG,Q_009_00238.JPG,0.9014,3.934,0.001,0.005,0.785,0.960
Q_009_00237.JPG,Q_009_00239.JPG,0.9203,3.341,0.001,0.004,0.900,0.997
Q_009_00238.JPG,Q_009_00240.JPG,0.9314,3.165,0.000,0.004,0.996,0.997
Q_009_00239.JPG,Q_009_00241.JPG,0.9677,3.125,0.001,0.004,0.995,0.997
Q_009_00240.JPG,Q_009_00242.JPG,0.9788,3.025,0.000,0.004,0.996,0.997
Q_009_00241.JPG,Q_009_00243.JPG,0.9832,3.006,0.001,0.004,0.996,0.997
Q_009_00242.JPG,Q_009_00244.JPG,0.9879,3.032,0.001,0.004,0.996,0.997
Q_009_00243.JPG,Q_009_00245.JPG,0.9917,3.049,0.001,0.004,0.995,0.997
Q_009_00244.JPG,Q_009_00246.JPG,0.9920,3.026,0.001,0.004,0.996,0.997
Q_009_00245.JPG,Q_009_00247.JPG,0.9920,3.027,0.001,0.004,0.996,0.998
Q_009_00246.JPG,Q_009_00248.JPG,0.9854,3.100,0.001,0.004,0.973,0.997
Q_009_00247.JPG,Q_009_00249.JPG,0.7783,3.314,0.000,0.003,0.996,0.998
Q_009_00248.JPG,Q_009_00250.JPG,0.7780,2.985,0.000,0.000,0.998,1.000
Q_009_00249.JPG,Q_009_00251.JPG,0.8984,13.647,0.001,0.023,0.698,0.887
Q_009_00250.JPG,Q_009_00252.JPG,0.9129,3.026,0.001,0.004,0.996,0.999
Q_009_00251.JPG,Q_009_00253.JPG,0.9498,2.878,0.001,0.003,0.996,0.997
Q_009_00252.JPG,Q_009_00254.JPG,0.9271,2.874,0.000,0.000,0.997,0.997
Q_009_00253.JPG,Q_009_00255.JPG,0.9294,2.781,0.000,0.000,0.999,0.999
Q_009_00254.JPG,Q_009_00256.JPG,0.9379,2.822,0.000,0.000,0.999,0.999
Q_009_00255.JPG,Q_009_00257.JPG,0.9404,2.864,0.000,0.000,0.999,0.999
Q_009_00256.JPG,Q_009_00258.JPG,0.9594,2.806,0.000,0.000,0.999,0.999
Q_009_00257.JPG,Q_009_00259.JPG,0.9211,2.936,0.000,0.001,0.997,0.997
Q_009_00258.JPG,Q_009_00260.JPG,0.9705,20.329,0.001,0.088,0.657,0.852
Q_009_00259.JPG,Q_009_00261.JPG,0.9691,3.701,0.001,0.007,0.790,0.995
Q_009_00260.JPG,Q_009_00262.JPG,0.9833,3.302,0.000,0.000,0.929,0.997
Q_009_00261.JPG,Q_009_00263.JPG,0.9560,3.173,0.000,0.000,0.997,0.997
Q_009_00262.JPG,Q_009_00264.JPG,0.9486,3.034,0.000,0.000,0.997,0.998
Q_009_00263.JPG,Q_009_00265.JPG,0.9421,3.000,0.000,0.000,0.997,0.998
Q_009_00264.JPG,Q_009_00266.JPG,0.9422,2.777,0.000,0.000,0.999,0.999
