img0,img1,mean_conf,mean_err(px),AUC@1,AUC@2,AUC@5,AUC@10
TIMELAPSE_0305.JPG,TIMELAPSE_0307.JPG,0.9054,2.056,0.000,0.951,0.990,0.995
TIMELAPSE_0306.JPG,TIMELAPSE_0308.JPG,0.8615,1.722,0.003,0.967,0.995,0.997
TIMELAPSE_0307.JPG,TIMELAPSE_0309.JPG,0.8747,2.048,0.000,0.961,0.993,0.997
TIMELAPSE_0308.JPG,TIMELAPSE_0310.JPG,0.8652,2.145,0.000,0.955,0.991,0.995
TIMELAPSE_0309.JPG,TIMELAPSE_0311.JPG,0.8721,1.643,0.001,0.982,0.997,0.998
TIMELAPSE_0310.JPG,TIMELAPSE_0312.JPG,0.8667,1.696,0.000,0.987,0.998,0.999
TIMELAPSE_0311.JPG,TIMELAPSE_0313.JPG,0.8715,1.730,0.000,0.978,0.995,0.997
TIMELAPSE_0312.JPG,TIMELAPSE_0314.JPG,0.8601,1.542,0.004,0.985,0.997,0.998
TIMELAPSE_0313.JPG,TIMELAPSE_0315.JPG,0.8835,1.673,0.000,0.986,0.997,0.998
TIMELAPSE_0314.JPG,TIMELAPSE_0316.JPG,0.8658,2.471,0.000,0.920,0.989,0.995
TIMELAPSE_0315.JPG,TIMELAPSE_0317.JPG,0.8748,1.799,0.000,0.980,0.996,0.998
TIMELAPSE_0316.JPG,TIMELAPSE_0318.JPG,0.8407,1.748,0.001,0.980,0.997,0.998
TIMELAPSE_0317.JPG,TIMELAPSE_0319.JPG,0.8694,1.728,0.001,0.985,0.998,0.998
TIMELAPSE_0318.JPG,TIMELAPSE_0320.JPG,0.8616,1.757,0.000,0.973,0.994,0.997
TIMELAPSE_0319.JPG,TIMELAPSE_0321.JPG,0.8645,2.007,0.000,0.944,0.995,0.997
TIMELAPSE_0320.JPG,TIMELAPSE_0322.JPG,0.8737,1.884,0.000,0.975,0.995,0.997
TIMELAPSE_0321.JPG,TIMELAPSE_0323.JPG,0.8751,1.714,0.000,0.977,0.996,0.998
TIMELAPSE_0322.JPG,TIMELAPSE_0324.JPG,0.8803,1.788,0.000,0.984,0.998,0.999
TIMELAPSE_0323.JPG,TIMELAPSE_0325.JPG,0.8765,1.933,0.000,0.979,0.995,0.997
TIMELAPSE_0324.JPG,TIMELAPSE_0326.JPG,0.8880,1.451,0.009,0.984,0.997,0.998
TIMELAPSE_0325.JPG,TIMELAPSE_0327.JPG,0.8543,1.545,0.005,0.981,0.995,0.997
TIMELAPSE_0326.JPG,TIMELAPSE_0328.JPG,0.8562,1.846,0.000,0.966,0.993,0.996
TIMELAPSE_0327.JPG,TIMELAPSE_0329.JPG,0.8530,1.827,0.000,0.978,0.996,0.998
TIMELAPSE_0328.JPG,TIMELAPSE_0330.JPG,0.8508,2.060,0.000,0.950,0.995,0.997
TIMELAPSE_0329.JPG,TIMELAPSE_0331.JPG,0.8547,2.438,0.000,0.935,0.994,0.996
TIMELAPSE_0330.JPG,TIMELAPSE_0332.JPG,0.8618,1.698,0.004,0.987,0.997,0.998
TIMELAPSE_0331.JPG,TIMELAPSE_0333.JPG,0.8749,1.582,0.002,0.987,0.997,0.998
TIMELAPSE_0332.JPG,TIMELAPSE_0334.JPG,0.8778,1.845,0.000,0.975,0.994,0.996
TIMELAPSE_0333.JPG,TIMELAPSE_0335.JPG,0.8812,2.006,0.000,0.961,0.990,0.994
TIMELAPSE_0334.JPG,TIMELAPSE_0336.JPG,0.8713,1.871,0.000,0.962,0.993,0.996
TIMELAPSE_0335.JPG,TIMELAPSE_0337.JPG,0.8498,1.909,0.001,0.957,0.994,0.997
TIMELAPSE_0336.JPG,TIMELAPSE_0338.JPG,0.8435,1.800,0.001,0.967,0.992,0.995
TIMELAPSE_0337.JPG,TIMELAPSE_0339.JPG,0.8502,1.643,0.000,0.984,0.997,0.998
TIMELAPSE_0338.JPG,TIMELAPSE_0340.JPG,0.8590,1.889,0.000,0.965,0.992,0.996
