img0,img1,mean_conf,mean_err(px),AUC@1,AUC@2,AUC@5,AUC@10
H_009_00194.JPG,H_009_00196.JPG,0.9872,2.510,0.001,0.004,0.998,1.000
H_009_00195.JPG,H_009_00197.JPG,0.9794,2.520,0.000,0.004,0.998,1.000
H_009_00196.JPG,H_009_00198.JPG,0.9779,2.526,0.001,0.004,0.998,0.999
H_009_00197.JPG,H_009_00199.JPG,0.9679,2.526,0.000,0.004,0.998,1.000
H_009_00198.JPG,H_009_00200.JPG,0.9459,2.514,0.001,0.005,0.998,0.999
H_009_00199.JPG,H_009_00201.JPG,0.9351,2.516,0.001,0.004,0.998,0.999
H_009_00200.JPG,H_009_00202.JPG,0.9280,2.526,0.001,0.004,0.998,0.999
H_009_00201.JPG,H_009_00203.JPG,0.9383,2.521,0.001,0.004,0.998,0.999
H_009_00202.JPG,H_009_00204.JPG,0.9457,2.512,0.000,0.004,0.998,0.999
H_009_00203.JPG,H_009_00205.JPG,0.8978,2.753,0.001,0.005,0.978,0.998
H_009_00204.JPG,H_009_00206.JPG,0.8071,7.682,0.001,0.007,0.935,0.972
H_009_00205.JPG,H_009_00207.JPG,0.7667,2.920,0.001,0.008,0.983,0.991
H_009_00206.JPG,H_009_00208.JPG,0.7938,9.249,0.001,0.004,0.924,0.964
H_009_00207.JPG,H_009_00209.JPG,0.7361,5.171,0.000,0.003,0.953,0.975
H_009_00208.JPG,H_009_00210.JPG,0.7757,2.551,0.000,0.002,1.000,1.000
H_009_00209.JPG,H_009_00211.JPG,0.8111,2.515,0.001,0.038,0.997,0.999
H_009_00210.JPG,H_009_00212.JPG,0.8492,2.515,0.001,0.012,0.998,0.999
H_009_00211.JPG,H_009_00213.JPG,0.8778,2.498,0.001,0.004,0.998,0.999
H_009_00212.JPG,H_009_00214.JPG,0.9401,2.500,0.001,0.004,0.998,0.999
H_009_00213.JPG,H_009_00215.JPG,0.9763,2.520,0.001,0.004,0.998,0.999
H_009_00214.JPG,H_009_00216.JPG,0.9631,2.495,0.001,0.004,0.998,1.000
H_009_00215.JPG,H_009_00217.JPG,0.9753,2.512,0.001,0.004,0.998,0.999
H_009_00216.JPG,H_009_00218.JPG,0.9863,2.501,0.001,0.004,0.998,1.000
H_009_00217.JPG,H_009_00219.JPG,0.9792,2.508,0.001,0.004,0.998,0.999
H_009_00218.JPG,H_009_00220.JPG,0.9808,2.485,0.001,0.004,0.998,0.999
H_009_00219.JPG,H_009_00221.JPG,0.9406,2.494,0.001,0.004,0.998,0.999
H_009_00220.JPG,H_009_00222.JPG,0.9570,2.485,0.001,0.004,0.998,0.999
H_009_00221.JPG,H_009_00223.JPG,0.9311,2.497,0.001,0.005,0.998,0.999
H_009_00222.JPG,H_009_00224.JPG,0.9070,2.492,0.001,0.005,0.998,0.999
H_009_00223.JPG,H_009_00225.JPG,0.8378,2.485,0.001,0.006,0.998,0.999
H_009_00224.JPG,H_009_00226.JPG,0.8146,2.477,0.001,0.004,0.998,1.000
H_009_00225.JPG,H_009_00227.JPG,0.8579,2.507,0.001,0.005,0.998,0.999
H_009_00226.JPG,H_009_00228.JPG,0.8553,2.496,0.000,0.003,0.999,0.999
H_009_00227.JPG,H_009_00229.JPG,0.8554,2.484,0.001,0.004,0.998,0.999
H_009_00228.JPG,H_009_00230.JPG,0.8748,2.487,0.001,0.005,0.998,1.000
H_009_00229.JPG,H_009_00231.JPG,0.8842,2.514,0.001,0.005,0.998,0.999
H_009_00230.JPG,H_009_00232.JPG,0.8632,2.498,0.001,0.004,0.998,0.999
H_009_00231.JPG,H_009_00233.JPG,0.8677,2.531,0.001,0.005,0.999,0.999
H_009_00232.JPG,H_009_00234.JPG,0.8526,2.502,0.001,0.004,0.998,1.000
H_009_00233.JPG,H_009_00235.JPG,0.9335,2.520,0.001,0.004,0.998,0.999
H_009_00234.JPG,H_009_00236.JPG,0.9431,2.518,0.001,0.005,0.998,0.999
H_009_00235.JPG,H_009_00237.JPG,0.9429,2.521,0.001,0.005,0.998,0.999
H_009_00236.JPG,H_009_00238.JPG,0.9467,2.513,0.001,0.005,0.998,0.999
H_009_00237.JPG,H_009_00239.JPG,0.9316,2.513,0.001,0.006,0.998,0.999
H_009_00238.JPG,H_009_00240.JPG,0.9207,2.501,0.001,0.005,0.998,0.999
H_009_00239.JPG,H_009_00241.JPG,0.9564,2.505,0.001,0.005,0.998,0.999
